id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,map_file,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,comment,police_station,meta_data,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,duration_minutes,hour,day_of_week,impact_class,month,is_weekend,is_peak_hour,is_non_corridor,event_cause_freq,corridor_freq,others_vehicle_issue,others_roadwork,others_water_issue,others_fire
FKID000057,unplanned,12.9848257,77.7527586,0.0,0.0,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",,vehicle_breakdown,False,2024-01-30 22:06:02.276000+00:00,,closed,yes,2024-01-30 22:42:27.016787+00,,,gear jam not moving traffic slow moving,private_car,FKN00GL0022,Non-corridor,Low,,,,2024-01-30 22:07:20.927778+00,,1,FKUSR00048,FKUSR00001,,,,Mahadevapura,,FKKG000042,,,,FKUSR00048,2024-01-30 22:42:27.016248+00:00,,,,,,36.41233746666667,22,1,Medium,1,0,0,1,1783,882.0,0,0,0,0
FKID000063,unplanned,12.9513113,77.4994888,0.0,0.0,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",,vehicle_breakdown,False,2024-01-30 23:12:23.123000+00:00,,closed,yes,2024-01-31 00:35:36.783183+00,,,ಬಿಎಂಟಿಸಿ ಬಸ್ ಗೇರ್ ರಾಡ್ ಕಟ್ ಆಗಿ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,FKN00GL0024,Non-corridor,Low,,,,2024-01-30 23:14:11.203391+00,,1,FKUSR00007,FKUSR00001,,,,Jnanabharathi,,FKKG000004,,,,FKUSR00007,2024-01-31 00:35:36.782614+00:00,,,,,,83.22766023333334,23,1,Medium,1,0,0,1,1783,882.0,0,0,0,0
FKID000066,unplanned,12.9165983,77.583705,0.0,0.0,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",,tree_fall,False,2024-03-07 20:58:06.297000+00:00,,closed,yes,2024-03-08 02:19:20.588574+00,,,[location] sir 9 th main 46 crs trdd bsnl office tree fallen on main road closed,,,Non-corridor,Low,,,,2024-03-07 20:59:18.285194+00,,1,FKUSR00051,FKUSR00001,,,,J.P. Nagar,,FKKG000045,,,,FKUSR00051,2024-03-08 02:19:20.587942+00:00,,,,,,321.23818236666665,20,3,Critical,3,0,1,1,103,882.0,0,0,0,0
FKID000069,unplanned,12.9740913,77.5452252,0.0,0.0,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,vehicle_breakdown,False,2024-01-31 00:33:27.663000+00:00,,closed,no,2024-01-31 01:17:38.964911+00,,,vehicle movment very slow,bmtc_bus,FKN00GL0026,West of Chord Road,High,,,,2024-01-31 00:34:11.984483+00,,1,FKUSR00053,FKUSR00001,,,,Vijayanagara,,FKKG000047,,,,FKUSR00053,2024-01-31 01:17:38.964363+00:00,,,,,,44.18835605,0,2,Medium,1,0,0,0,1783,42.0,0,0,0,0
FKID000070,unplanned,12.9740971,77.5449011,0.0,0.0,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",,vehicle_breakdown,False,2024-01-31 00:36:02.277000+00:00,,closed,yes,2024-01-31 01:17:50.143185+00,,,,bmtc_bus,FKN00GL0026,West of Chord Road,High,,,,2024-01-31 00:37:29.633418+00,,1,FKUSR00054,FKUSR00001,,,,Vijayanagara,,FKKG000048,,,,FKUSR00054,2024-01-31 01:17:50.142637+00:00,,,,,,41.797760616666665,0,2,Medium,1,0,0,0,1783,42.0,0,0,0,0
FKID000071,unplanned,12.9688926,77.569795,0.0,0.0,"Binny Mill Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",,vehicle_breakdown,False,2024-01-31 01:24:44.373000+00:00,,closed,no,2024-01-31 01:50:53.885413+00,,,"[location] road jn towards mill road jn this vehicle back wheel puncher, traffic little bit slow moving sir",auto,FKN00GL0027,Non-corridor,Low,,,,2024-01-31 01:27:32.617672+00,,1,FKUSR00055,FKUSR00001,,,,Chamarajpet,,FKKG000049,,,,FKUSR00055,2024-01-31 01:50:53.884849+00:00,,,,,,26.158530816666666,1,2,Low,1,0,0,1,1783,882.0,0,0,0,0
FKID000080,unplanned,12.9449039,77.4949618,0.0,0.0,"Kengeri Main Road, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",,others,False,2024-03-07 21:25:26.425000+00:00,,closed,yes,2024-03-07 21:41:19.773221+00,,,bmtc bus offroad in front of adishakti temple,,,Non-corridor,Low,,,,2024-03-07 21:26:42.075291+00,,1,FKUSR00063,FKUSR00001,,,,Jnanabharathi,,FKKG000057,,,,FKUSR00063,2024-03-07 21:41:19.772509+00:00,,,,,,15.88912515,21,3,Low,3,0,0,1,234,882.0,0,0,0,0
FKID000081,unplanned,12.9873133,77.6163481,0.0,0.0,"St John Road, Field Marshal Manekshaw Enclave, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",,tree_fall,False,2024-03-07 21:17:00.312000+00:00,,closed,no,2024-03-07 23:13:49.215038+00,,,ರಸ್ತೆ ಮಧ್ಯದಲ್ಲೇ ಮರ ಬಿದ್ದಿರುವುದರಿಂದ ಸುಗಮ ಸಂಚಾರಕ್ಕೆ ಸ್ವಲ್ಪ ನಿಧಾನ ಗತಿಯಲ್ಲಿ ಇರುತ್ತದೆ,,,Non-corridor,Low,,,,2024-03-07 21:18:56.020966+00,,1,FKUSR00064,FKUSR00001,,,,Pulikeshinagar(F.Town),,FKKG000058,,,,FKUSR00064,2024-03-07 23:13:49.030632+00:00,,,,,,116.8119772,21,3,High,3,0,0,1,103,882.0,0,0,0,0
FKID000086,unplanned,12.8482637,77.6713737,0.0,0.0,"4th Main Road, Abbaiah Reddy Layout, Electronic City, Bengaluru, Karnataka. Pin-560100 (India)",,vehicle_breakdown,False,2024-01-31 02:47:16.032000+00:00,,closed,yes,2024-01-31 04:10:44.744975+00,,,lgv breake down veersandar to [location] near ec 1,lcv,FKN00GL0033,Non-corridor,Low,,,,2024-01-31 02:48:28.817704+00,,1,FKUSR00067,FKUSR00001,,,,Electronic City,,FKKG000061,,,,FKUSR00067,2024-01-31 04:10:44.744402+00:00,,,,,,83.47854003333333,2,2,Medium,1,0,0,1,1783,882.0,0,0,0,0
FKID000087,unplanned,12.96672,77.6093294,0.0,0.0,"Richmond Road, Mother Teresa Circle, Nilsandra, Bengaluru, Karnataka. Pin-560025 (India)",,vehicle_breakdown,False,2024-01-31 05:03:24.794000+00:00,,closed,yes,2024-01-31 05:56:09.889145+00,,,ಡಿಸೋಜ ಟುವರ್ಡ್ಸ್ ಮದರ್ ತೆರೇಸಾ,bmtc_bus,FKN00GL0034,Mysore Road,High,,,,2024-01-31 05:04:44.117365+00,,1,FKUSR00068,FKUSR00001,,,,Ashok Nagar,,FKKG000062,,,,FKUSR00068,2024-01-31 05:56:09.888569+00:00,,,,,,52.75157615,5,2,Medium,1,0,0,0,1783,289.0,0,0,0,0
FKID000088,unplanned,13.0253205,77.6400845,0.0,0.0,"5th A Cross Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",,vehicle_breakdown,False,2024-03-07 21:35:50.715000+00:00,,closed,yes,2024-03-07 22:50:40.247777+00,,,front wheel tyre burst,private_bus,FKN00GL0035,ORR North 1,High,,,,2024-03-07 21:36:46.339775+00,,1,FKUSR00069,FKUSR00001,,,,Banaswadi,,FKKG000063,,,,FKUSR00069,2024-03-07 22:50:40.247224+00:00,,,,,,74.82553706666666,21,3,Medium,3,0,0,0,1783,72.0,0,0,0,0
FKID000093,unplanned,12.9480512,77.5343585,0.0,0.0,"Mysore Road, Deepanjali Nagar, Bengaluru, Karnataka. Pin-560026 (India)",,vehicle_breakdown,False,2024-01-31 04:21:01.833000+00:00,,closed,yes,2024-01-31 05:08:43.227836+00,,,nayadahallie towards bhel incoming side traffic no problem,heavy_vehicle,FKN00GL0039,Mysore Road,High,,,,2024-01-31 04:22:16.818647+00,,1,FKUSR00074,FKUSR00001,,,,Byatarayanapura,,FKKG000068,,,,FKUSR00074,2024-01-31 05:08:43.227334+00:00,,,,,,47.68990556666667,4,2,Medium,1,0,0,0,1783,289.0,0,0,0,0
FKID000095,unplanned,13.0078566,77.5920655,0.0,0.0,"Jayamahal Main Road, Munireddypalya, JC Nagar, Bengaluru, Karnataka. Pin-560006 (India)",,tree_fall,False,2024-03-07 21:47:02.800000+00:00,,closed,no,2024-03-07 21:55:40.011444+00,,,tv tower tree falling,,,Non-corridor,Low,,,,2024-03-07 21:47:53.871405+00,,1,FKUSR00076,FKUSR00076,,,,R.T. Nagar,,FKKG000070,,,,FKUSR00076,2024-03-07 21:55:40.010876+00:00,,,,,,8.620181266666666,21,3,Low,3,0,0,1,103,882.0,0,0,0,0
FKID000107,unplanned,12.9238693,77.5536044,0.0,0.0,"Dr Rajkumar Puniya Bhoomi Road, Block 5 Phase 3, Banashankari Stage 3, Bengaluru, Karnataka. Pin-560085 (India)",,vehicle_breakdown,False,2024-01-31 05:41:26.253000+00:00,,closed,no,2024-01-31 08:02:27.928621+00,,,vehicle off road @ [person] due to clutch problem,others,FKN00GL0043,ORR West 1,High,,,,2024-01-31 05:44:24.310732+00,,1,FKUSR00085,FKUSR00001,,,,Banashankari,,FKKG000079,,,,FKUSR00085,2024-01-31 08:02:27.928046+00:00,,,,,,141.02791743333333,5,2,High,1,0,0,0,1783,62.0,0,0,0,0
FKID000113,unplanned,13.0331905,77.5901915,0.0,0.0,"Anand Nagar Main Road, AGS Layout, Anand Nagar, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",,construction,False,2024-03-07 22:40:56.720000+00:00,,closed,no,2024-03-08 07:46:19.124746+00,,,keb cable work @anand [person],,,Bellary Road 1,High,,,,2024-03-07 22:41:58.865738+00,,1,FKUSR00089,FKUSR00001,,,,Hebbala,,FKKG000083,,,,FKUSR00089,2024-03-08 07:46:19.124181+00:00,,,,,,545.3734030166667,22,3,Critical,3,0,0,0,51,194.0,0,0,0,0
FKID000122,unplanned,12.9392829,77.5596125,12.9393012,77.5597402,"5th Cross Road, 2nd Block, Ashok Nagar, Banashankari Stage 1, Bengaluru, Karnataka. Pin-560050 (India)","5th Cross Road, 2nd Block, Ashok Nagar, Banashankari Stage 1, Bengaluru, Karnataka. Pin-560050 (India)",tree_fall,True,2024-03-07 23:06:49.704000+00:00,,closed,no,2024-03-08 00:08:37.382269+00,,,bbmp tree cut maduvaru bandiruttare sir.,,,Non-corridor,Low,,,,2024-03-07 23:09:20.575174+00,,1,FKUSR00097,FKUSR00001,,,,Basavanagudi,,FKKG000091,,,,FKUSR00097,2024-03-08 00:08:37.381719+00:00,,,,,,61.79462865,23,3,Medium,3,0,0,1,103,882.0,0,0,0,0
FKID000123,unplanned,12.9614398,77.5600867,0.0,0.0,"BGS Flyover, Mariyamma Layout, JJR Nagar South, Bengaluru, Karnataka. Pin-560018 (India)",,vehicle_breakdown,False,2024-01-31 08:57:24.573000+00:00,,closed,yes,2024-01-31 10:39:45.991893+00,,,heat,lcv,FKN00GL0050,Mysore Road,High,,,,2024-01-31 08:58:24.324977+00,,1,FKUSR00065,FKUSR00001,,,,Chamarajpet,,FKKG000059,,,,FKUSR00065,2024-01-31 10:39:45.991392+00:00,,,,,,102.3569732,8,2,High,1,0,1,0,1783,289.0,0,0,0,0
FKID000131,unplanned,13.114305,77.60655,0.0,0.0,"Bellary Road, SN Halli, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",,vehicle_breakdown,False,2024-01-31 20:34:20.329000+00:00,,closed,no,2024-01-31 22:16:52.647372+00,,,[location] onflyover to wards airport hgv lary tyer bust sir,heavy_vehicle,FKN00GL0052,Bellary Road 2,High,,,,2024-01-31 20:35:01.334708+00,,1,FKUSR00105,FKUSR00001,,,,Yelahanka,,FKKG000099,,,,FKUSR00105,2024-01-31 22:16:52.605981+00:00,,,,,,102.53794968333334,20,2,High,1,0,1,0,1783,115.0,0,0,0,0
FKID000132,unplanned,12.9900159,77.5025425,0.0,0.0,"Magadi Main Road, Pattanagere Nagar, Sunkadakatte, Bengaluru, Karnataka. Pin-560091 (India)",,vehicle_breakdown,False,2024-01-31 20:33:08.407000+00:00,,closed,yes,2024-01-31 22:19:37.431504+00,,,brekdown traffick slov momnet,bmtc_bus,FKN00GL0053,Magadi Road,High,,,,2024-01-31 20:34:54.185587+00,,1,FKUSR00106,FKUSR00001,,,,Kamakshipalya,,FKKG000100,,,,FKUSR00106,2024-01-31 22:19:37.431017+00:00,,,,,,106.48373361666667,20,2,High,1,0,1,0,1783,93.0,0,0,0,0
FKID000134,unplanned,12.9216832,77.6199372,12.9216543,77.6199378,"Hosur Road, Market Square Value Mall, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)","Hosur Road, Market Square Value Mall, Block 2, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",vehicle_breakdown,True,2024-01-31 19:45:59.207000+00:00,,closed,yes,2024-01-31 21:01:20.762695+00,,,ಅಯ್ಯಪ್ಪ ಜಂಕ್ಷನ್ ಇಂದ ಹೋಗುವ ಮಾರ್ಗ ಮಧ್ಯೆ ಕಸದ ಲಾರಿ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ ಸರ್,heavy_vehicle,FKN00GL0054,Hosur Road,High,,,,2024-01-31 19:50:17.881149+00,,1,FKUSR00107,FKUSR00001,,,,Madiwala,,FKKG000101,,,,FKUSR00107,2024-01-31 21:01:20.762150+00:00,,,,,,75.3592525,19,2,Medium,1,0,1,0,1783,94.0,0,0,0,0
FKID000138,unplanned,13.0161873,77.7093516,13.0161745,77.7093238,"Seegehalli Main Road, Sri Manjunatha Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)","Seegehalli Main Road, Sri Manjunatha Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",pot_holes,True,2024-01-21 00:50:18.118000+00:00,,closed,no,2024-01-21 06:55:31.729642+00,,,path holes traffic slow movement sir,,,Non-corridor,Low,,,,2024-01-21 00:52:30.447069+00,,1,FKUSR00110,FKUSR00001,,,,K.R. Pura,,FKKG000104,,,,FKUSR00110,2024-01-21 06:55:31.729035+00:00,,,,,,365.2268505833334,0,6,Critical,1,1,0,1,32,882.0,0,0,0,0
FKID000142,unplanned,12.938565,77.6979933,0.0,0.0,"Panathur Main Road, Mariyappa Layout, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",,water_logging,False,2024-03-07 23:17:27.277000+00:00,,closed,yes,2024-03-08 00:07:25.634684+00,,,panathur towards doddakannelli road bad condition  consider bbmp informed,,,ORR East 1,High,,,,2024-03-07 23:24:36.534268+00,,1,FKUSR00113,FKUSR00001,,,,HAL Old Airport,,FKKG000107,,,,FKUSR00113,2024-03-08 00:07:25.634007+00:00,,,,,,49.972616783333336,23,3,Medium,3,0,0,0,100,73.0,0,0,0,0
FKID000143,unplanned,12.9690624,77.5872736,12.9690654,77.5872728,"Nrupatunga Road, Police Corner Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)","Nrupatunga Road, Police Corner Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",vehicle_breakdown,True,2024-03-07 23:36:30.807000+00:00,,closed,yes,2024-03-08 01:28:08.083445+00,,,bmtc bus breck down startig agatilla sir,bmtc_bus,FKN00GL0058,Mysore Road,High,,,,2024-03-07 23:38:48.571214+00,,1,FKUSR00114,FKUSR00001,,,,Halasuru Gate,,FKKG000108,,,,FKUSR00114,2024-03-08 01:28:08.082546+00:00,,,,,,111.6212591,23,3,High,3,0,0,0,1783,289.0,0,0,0,0
FKID000157,unplanned,12.8700974,77.6533824,0.0,0.0,"Hosur Road, Channakeshava Nagar, Singasandra, Bengaluru, Karnataka. Pin-560100 (India)",,vehicle_breakdown,False,2024-03-08 00:00:08.664000+00:00,,closed,yes,2024-03-08 00:52:58.584415+00,,,ಹೊಸ ರೋಡ್ ಸಿಗ್ನಲ್ ಸರ್ ಟೂ ವರ್ಡ್ಸ್ ಹೊಸೂರ ಸ್ಟಾರ್ಟೆರ್ ಪ್ರಾಬ್ಲಮ್ ವೀಲ್ ಜಾಮ್ ಸರ್,bmtc_bus,FKN00GL0063,Hosur Road,High,,,,2024-03-08 00:03:16.061723+00,,1,FKUSR00123,FKUSR00001,,,,Electronic City,,FKKG000117,,,,FKUSR00123,2024-03-08 00:52:58.583674+00:00,,,,,,52.83199456666667,0,4,Medium,3,0,0,0,1783,94.0,0,0,0,0
FKID000161,unplanned,12.9793286,77.5105419,0.0,0.0,"Kengeri Main Road, Nagarbhavi BDA Shopping Complex, Block 3, Nagarbhavi Stage 2, Bengaluru, Karnataka. Pin-560072 (India)",,others,False,2024-03-08 00:49:05.768000+00:00,,closed,yes,2024-03-08 02:10:33.94495+00,,,30 minutes clear bmtc bus air pipe cut agide,,,Non-corridor,Low,,,,2024-03-08 00:50:06.42932+00,,1,FKUSR00127,FKUSR00001,,,,Jnanabharathi,,FKKG000121,,,,FKUSR00127,2024-03-08 02:10:33.944267+00:00,,,,,,81.46960444999999,0,4,Medium,3,0,0,1,234,882.0,0,0,0,0
FKID000162,unplanned,12.94819783,77.53467664,0.0,0.0,"Mysore Road, Deepanjali Nagar, Bengaluru, Karnataka. Pin-560026 (India)",,others,False,2024-01-31 23:11:54.561000+00:00,,closed,no,2024-01-31 23:27:12.819449+00,,,vehicle starting problem,,,Mysore Road,High,,,,2024-01-31 23:12:26.82938+00,,1,FKUSR00128,FKUSR00001,,,,Byatarayanapura,,FKKG000122,,,,FKUSR00128,2024-01-31 23:27:12.818970+00:00,,,,,,15.3042995,23,2,Low,1,0,0,0,234,289.0,1,0,0,0
FKID000163,unplanned,13.022765,77.6014354,13.0226422,77.6014978,"2nd Cross Road, Mariappa Garden, RT Nagar, Bengaluru, Karnataka. Pin-560032 (India)","2nd Cross Road, Sultanpalya, Bengaluru, Karnataka. Pin-560032 (India)",tree_fall,True,2024-03-08 00:28:29.411000+00:00,,closed,yes,2024-03-08 03:26:38.97075+00,,,tree fall dinnuru main rd towards pushpanjali,,,Non-corridor,Low,,,,2024-03-08 00:29:45.880875+00,,1,FKUSR00129,FKUSR00001,,,,R.T. Nagar,,FKKG000123,,,,FKUSR00129,2024-03-08 03:26:38.970263+00:00,,,,,,178.15932105,0,4,High,3,0,0,1,103,882.0,0,0,0,0
FKID000166,planned,13.1511992,77.620242,0.0,0.0,"Bengaluru Bellary Road, Hunsemarrenhalli Junction, Hunasamaranahalli, Bengaluru, Karnataka. Pin-562157 (India)",,construction,False,2024-02-01 00:08:01.156000+00:00,2024-02-01 06:07:46+00,closed,yes,2024-02-01 00:39:55.772208+00,,,"ನಮಸ್ತೆ ಸರ್, ಟೊಯೋಟಾ ಶೋರೂಮ್ ಹತ್ತಿರ ಟುವರ್ಡ್ಸ್ ಬೆಂಗಳೂರು ಸಿಟಿ ಕಡೆ ರೋಡ್  ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದರಿಂದ ಟ್ರಾಫಿಕ್ ಮೂಮೆಂಟ್ಸ್ ಸ್ಲೋ  ಆಗಿರುತ್ತದೆ",,,Bellary Road 2,High,,,,2024-02-01 00:13:06.270526+00,,1,FKUSR00132,FKUSR00001,,,,Chikkajala,,FKKG000126,,,,FKUSR00132,2024-02-01 00:39:55.771653+00:00,,,,,,31.910260883333333,0,3,Medium,2,0,0,0,51,115.0,0,0,0,0
